record_id,region_id,geography_scope,sector_scope,publisher,metric,scenario,component,value,unit,qualifier,as_of,period_start,period_end,source_vintage,source_url,source_locator,retrieved_on,use,notes
dom_202307_esa,dominion_virginia_power,Virginia Electric and Power Company customer contracts; not all Virginia,data_centres,Dominion Energy,contract_capacity,,esa,5827,MW,reported,2023-07-31,,,2025-10-15,https://www.dominionenergy.com/-/media/content/about/our-company/irp/pdfs/2025-integrated-resource-plan-update.pdf,Figure 2.1.15; printed p19 / PDF p27; definitions p18,2026-09-13,context_only,Snapshot of requested capacity in contracts. Firm = ESA + CLOA; total = firm + ELOA. Components and totals overlap; do not sum across dates or with PJM. Contracts are not energized demand.
dom_202307_cloa,dominion_virginia_power,Virginia Electric and Power Company customer contracts; not all Virginia,data_centres,Dominion Energy,contract_capacity,,cloa,2008,MW,reported,2023-07-31,,,2025-10-15,https://www.dominionenergy.com/-/media/content/about/our-company/irp/pdfs/2025-integrated-resource-plan-update.pdf,Figure 2.1.15; printed p19 / PDF p27; definitions p18,2026-09-13,context_only,Snapshot of requested capacity in contracts. Firm = ESA + CLOA; total = firm + ELOA. Components and totals overlap; do not sum across dates or with PJM. Contracts are not energized demand.
dom_202307_firm,dominion_virginia_power,Virginia Electric and Power Company customer contracts; not all Virginia,data_centres,Dominion Energy,contract_capacity,,firm,7835,MW,reported,2023-07-31,,,2025-10-15,https://www.dominionenergy.com/-/media/content/about/our-company/irp/pdfs/2025-integrated-resource-plan-update.pdf,Figure 2.1.15; printed p19 / PDF p27; definitions p18,2026-09-13,context_only,Snapshot of requested capacity in contracts. Firm = ESA + CLOA; total = firm + ELOA. Components and totals overlap; do not sum across dates or with PJM. Contracts are not energized demand.
dom_202307_eloa,dominion_virginia_power,Virginia Electric and Power Company customer contracts; not all Virginia,data_centres,Dominion Energy,contract_capacity,,eloa,8658,MW,reported,2023-07-31,,,2025-10-15,https://www.dominionenergy.com/-/media/content/about/our-company/irp/pdfs/2025-integrated-resource-plan-update.pdf,Figure 2.1.15; printed p19 / PDF p27; definitions p18,2026-09-13,context_only,Snapshot of requested capacity in contracts. Firm = ESA + CLOA; total = firm + ELOA. Components and totals overlap; do not sum across dates or with PJM. Contracts are not energized demand.
dom_202307_total,dominion_virginia_power,Virginia Electric and Power Company customer contracts; not all Virginia,data_centres,Dominion Energy,contract_capacity,,total,16493,MW,reported,2023-07-31,,,2025-10-15,https://www.dominionenergy.com/-/media/content/about/our-company/irp/pdfs/2025-integrated-resource-plan-update.pdf,Figure 2.1.15; printed p19 / PDF p27; definitions p18,2026-09-13,context_only,Snapshot of requested capacity in contracts. Firm = ESA + CLOA; total = firm + ELOA. Components and totals overlap; do not sum across dates or with PJM. Contracts are not energized demand.
dom_202407_esa,dominion_virginia_power,Virginia Electric and Power Company customer contracts; not all Virginia,data_centres,Dominion Energy,contract_capacity,,esa,8012,MW,reported,2024-07-31,,,2025-10-15,https://www.dominionenergy.com/-/media/content/about/our-company/irp/pdfs/2025-integrated-resource-plan-update.pdf,Figure 2.1.15; printed p19 / PDF p27; definitions p18,2026-09-13,context_only,Snapshot of requested capacity in contracts. Firm = ESA + CLOA; total = firm + ELOA. Components and totals overlap; do not sum across dates or with PJM. Contracts are not energized demand.
dom_202407_cloa,dominion_virginia_power,Virginia Electric and Power Company customer contracts; not all Virginia,data_centres,Dominion Energy,contract_capacity,,cloa,5835,MW,reported,2024-07-31,,,2025-10-15,https://www.dominionenergy.com/-/media/content/about/our-company/irp/pdfs/2025-integrated-resource-plan-update.pdf,Figure 2.1.15; printed p19 / PDF p27; definitions p18,2026-09-13,context_only,Snapshot of requested capacity in contracts. Firm = ESA + CLOA; total = firm + ELOA. Components and totals overlap; do not sum across dates or with PJM. Contracts are not energized demand.
dom_202407_firm,dominion_virginia_power,Virginia Electric and Power Company customer contracts; not all Virginia,data_centres,Dominion Energy,contract_capacity,,firm,13847,MW,reported,2024-07-31,,,2025-10-15,https://www.dominionenergy.com/-/media/content/about/our-company/irp/pdfs/2025-integrated-resource-plan-update.pdf,Figure 2.1.15; printed p19 / PDF p27; definitions p18,2026-09-13,context_only,Snapshot of requested capacity in contracts. Firm = ESA + CLOA; total = firm + ELOA. Components and totals overlap; do not sum across dates or with PJM. Contracts are not energized demand.
dom_202407_eloa,dominion_virginia_power,Virginia Electric and Power Company customer contracts; not all Virginia,data_centres,Dominion Energy,contract_capacity,,eloa,7570,MW,reported,2024-07-31,,,2025-10-15,https://www.dominionenergy.com/-/media/content/about/our-company/irp/pdfs/2025-integrated-resource-plan-update.pdf,Figure 2.1.15; printed p19 / PDF p27; definitions p18,2026-09-13,context_only,Snapshot of requested capacity in contracts. Firm = ESA + CLOA; total = firm + ELOA. Components and totals overlap; do not sum across dates or with PJM. Contracts are not energized demand.
dom_202407_total,dominion_virginia_power,Virginia Electric and Power Company customer contracts; not all Virginia,data_centres,Dominion Energy,contract_capacity,,total,21417,MW,reported,2024-07-31,,,2025-10-15,https://www.dominionenergy.com/-/media/content/about/our-company/irp/pdfs/2025-integrated-resource-plan-update.pdf,Figure 2.1.15; printed p19 / PDF p27; definitions p18,2026-09-13,context_only,Snapshot of requested capacity in contracts. Firm = ESA + CLOA; total = firm + ELOA. Components and totals overlap; do not sum across dates or with PJM. Contracts are not energized demand.
