site_id,hub,verdict,confidence,reason,evidence,classifier_score,area_ha,rise_db,radar_structure_on,lat,lon,outline_check,osm_context,highres_check,reviewed_on,reviewer
cn_ulanqab_r05,ulanqab,not a data centre,high,"Dense rows of narrow parallel sheds (greenhouses or livestock barns) on the edge of a village; no halls, yards or substation.",results_cn/radar_review/cn_ulanqab_r05.png;results_s1/ulanqab_cand05.png,0.87,7.0,5.1,2022-03,41.06172,113.10185,,,Esri World Imagery viewed 2026-09-15 (capture date not shown): shed rows confirmed,2026-09-15,"donated session (Claude), RFW-01, pull request 16"
cn_ulanqab_r04,ulanqab,unclear,low,"One large white-roofed building among blue-roofed factory sheds in a light-industrial strip; no hall rows, cooling yard or substation seen.",results_cn/radar_review/cn_ulanqab_r04.png;results_s1/ulanqab_cand04.png,0.86,7.6,8.2,2025-01,41.07250,113.14398,,,Esri World Imagery viewed 2026-09-15 (capture date not shown): predates the structure,2026-09-15,"donated session (Claude), RFW-01, pull request 16"
cn_ulanqab_r03,ulanqab,not a data centre,medium,Five narrow single-storey sheds about 15 m wide in a walled plot of the new district; shed roofs with no plant.,results_cn/radar_review/cn_ulanqab_r03.png;results_s1/ulanqab_cand03.png,0.73,8.0,11.4,2022-11,41.02022,113.18997,,,Esri World Imagery viewed 2026-09-15 (capture date not shown): five long narrow sheds,2026-09-15,"donated session (Claude), RFW-01, pull request 16"
cn_ulanqab_r07,ulanqab,not a data centre,high,Small compound of low buildings on the edge of a village of houses; too small and irregular for halls.,results_cn/radar_review/cn_ulanqab_r07.png;results_s1/ulanqab_cand07.png,0.68,5.5,7.4,2021-07,41.04717,113.17102,,侯家 (244 m),Esri World Imagery viewed 2026-09-15 (capture date not shown): village-edge compound,2026-09-15,"donated session (Claude), RFW-01, pull request 16"
cn_ulanqab_r06,ulanqab,unclear,low,Six or seven parallel dark long buildings in a walled compound 1.4 km from the digitised park; same morphology as the sheds at cn_ulanqab_r03.,results_cn/radar_review/cn_ulanqab_r06.png;results_s1/ulanqab_cand06.png,0.67,6.7,11.5,2023-06,41.06514,113.14937,,,Esri World Imagery viewed 2026-09-15 (capture date not shown): predates the structure,2026-09-15,"donated session (Claude), RFW-01, pull request 16"
cn_horinger_r15,horinger,unclear,low,"One large white-roofed building with smaller structures on an industrial plot beside the China Telecom cloud-computing park (OSM); built 2026, too new for any check.",results_cn/radar_review/cn_horinger_r15.png,0.95,11.9,8.1,2026-04,40.54771,111.83235,,landuse=industrial (48 m); landuse=industrial (215 m); 雲谷佳苑 (379 m),Esri World Imagery viewed 2026-09-15 (capture date not shown): predates the structure,2026-09-15,"donated session (Claude), RFW-01, pull request 16"
cn_horinger_r27,horinger,not a data centre,high,"Single round-roofed building beside a running track and sports fields; a sports hall, not a data hall.",results_cn/radar_review/cn_horinger_r27.png,0.95,5.0,10.3,2024-07,40.56334,111.82265,,,Esri World Imagery viewed 2026-09-15 (capture date not shown): tiles did not load,2026-09-15,"donated session (Claude), RFW-01, pull request 16"
cn_horinger_r16,horinger,unclear,low,"Compact square block of white roofs about 250 m across, isolated in farmland; warehouse-like, no yards or substation seen.",results_cn/radar_review/cn_horinger_r16.png,0.94,10.8,12.0,2025-08,40.52040,111.83028,,,Esri World Imagery viewed 2026-09-15 (capture date not shown): predates the structure,2026-09-15,"donated session (Claude), RFW-01, pull request 16"
cn_horinger_r13,horinger,unclear,low,"Bright compound of mid-size buildings on a plot tagged construction in OSM, next to round tower blocks; mixed shapes.",results_cn/radar_review/cn_horinger_r13.png,0.94,12.4,9.2,2025-08,40.55202,111.83064,,landuse=industrial (299 m),Esri World Imagery viewed 2026-09-15 (capture date not shown): early construction only,2026-09-15,"donated session (Claude), RFW-01, pull request 16"
cn_horinger_r03,horinger,not a data centre,medium,"Walled factory: connected process buildings with grey roofs, tanks and a stack, beside a village; Sentinel shows the same block plus an equipment strip.",results_cn/radar_review/cn_horinger_r03.png;results_s1/horinger_cand03.png,0.93,33.2,11.6,2023-06,40.58094,111.86163,,,Esri World Imagery viewed 2026-09-15 (capture date not shown): factory blocks with process structures,2026-09-15,"donated session (Claude), RFW-01, pull request 16"
cn_horinger_r04,horinger,data-hall complex,medium,"Regular grid of about ten similar rectangular blocks inside OSM's China Telecom cloud-computing Inner Mongolia information park landuse, 0.2 km from Epoch's Huawei Horinger point; same footprint pattern as the park's existing halls to the north; no substation identified inside the outline.",results_cn/radar_review/cn_horinger_r04.png;results_s1/horinger_cand04.png,0.93,26.6,10.9,2022-06,40.53836,111.82705,Outline covers the block of buildings and open ground to the east; acceptable as a low-confidence footprint.,中国电信云计算内蒙古信息园 (348 m),Esri World Imagery viewed 2026-09-15 (capture date not shown): the blocks under construction,2026-09-15,"donated session (Claude), RFW-01, pull request 16"
