record_id,site_id,name,region,fuel,generation_mw,generation_basis,control,permit_id,permit_status,permit_url,source_url,first_fire_date,operating_status,nox_limit,nox_ef_lo,nox_ef_hi,nox_ef_basis,profile,baseline_before,notes
abilene_registered,stargate_abilene,Crusoe Abilene / Longhorn,Texas,natural_gas,360.5,registered_site_rated_turbines,SCR,177263,registered_modification,https://records.tceq.texas.gov/cs/idcplg?IdcService=TCEQ_EXTERNAL_SEARCH_GET_FILE&Rendition=Web&dID=8600163,https://www.crusoe.ai/resources/blog/an-inside-look-at-the-abilene-ai-data-center,,installed_operator_statement,0.14 lb/MWh (>300 hours/year); applicant estimate 0.09 lb/MWh,,0.06350293180000001,permit_upper_limit,results_no2/flux_abilene.csv,2025-01-01,"Five 38 MW Titan 350 plus five 34.1 MW LM2500; modification process description PDF p34. First-fire day unverified. Baseline cutoff is an analysis assumption, not a first-fire date. No conversion of NOx to MW with a one-sided ceiling."
colossus1_turbine_phase,colossus_memphis,xAI Colossus 1,Tennessee,natural_gas,,,unknown,,unverified,,https://github.com/recozers/openobservatory/blob/main/results_no2/colossus1_subtraction.json,,historical_delegated_C2,,,,,,,Claude C2 owns this source-confounded turbine phase. Existing subtraction found 62 +/- 63 kg/h; no new permit capacity or conversion inferred here.
colossus2_temporary,colossus2_southaven,xAI Colossus 2 temporary fleet,Mississippi,natural_gas,,,unknown,,unverified,,https://www.selc.org/news/xai-built-an-illegal-power-plant-to-power-its-data-center/,,operating_existing_study,,,,,results_no2/flux_colossus2.csv,2025-07-01,"Temporary fleet operation is the existing study, distinct from the SCR plant authorised in March 2026. Reported 495 MW is not independently established by this permit audit; generation_mw remains blank. Existing 0.5-1.5 kg/MWh uncertainty is retained, not relabelled a permit factor."
colossus2_permanent,colossus2_southaven,MZX Tech permanent turbine plant,Mississippi,natural_gas,1240.5,permit_group_ratings_sum,SCR,0680-00119,issued_2026-03-11,https://opcgis.deq.state.ms.us/ensearchonline/get_doc.aspx?dt=finalp&id=1834338,https://opcgis.deq.state.ms.us/enOnline/ai_info.aspx?ai=12592,,construction_authorised_not_commissioning_verified,PGM-130 group: 2 ppmv at 15% O2 dry; 1.45 lb/h normal operation; 5.6 short tons/year per unit including startup/shutdown,,,,,,"41 turbines: 17x16.5 + 16x35 + 8x50 MW (PDF pp8-10). Individual PGM rows say 16.48 MW, giving 1240.16 MW instead; precision difference retained. Limits here cover the PGM group only (p12), not every turbine. Permit grant is not proof of first fire."
fermi_matador,,Fermi Project Matador,Texas,natural_gas,5175,gas_turbine_nominal_sum_excludes_steam,SCR,181009; PSDTX1670; GHGPSDTX254,issued_2026-02-25,https://records.tceq.texas.gov/cs/idcplg?IdcService=GET_FILE&allowInterrupt=1&dDocName=8281239&dID=9562400,https://fermiamerica.com/,,first_power_target_2026_not_verified,2 ppmvd NOx at 15% O2 for combined-cycle units; GE6B simple-cycle 4 ppmvd; rolling 24h; MSS exclusions,,,,,,"Permit special conditions 5-7: 90x56 MW SGT-800 plus 3x45 MW GE6B, excluding steam output. 35.2843,-101.5776 is a published plant point, not a verified data-hall polygon. No public campus added without sourced hall geometry."
vantage_frontier,,Vantage Frontier / Shackelford County,Texas,natural_gas,,,unknown,,unverified,,https://vantage-dc.com/data-center-locations/north-america/shackelford-county-tx,,planned_delivery_H2_2026,,,,,,,"1400 MW is critical IT capacity, not a confirmed on-site gas plant. Separate Vantage/VoltaGrid agreement is portfolio-wide; no campus allocation or permit verified."
poolside_horizon,,Poolside Project Horizon / CoreWeave,Texas,natural_gas,,,unknown,,unverified,,https://investors.coreweave.com/news/news-details/2025/CoreWeave-Announces-Partnership-with-Foundation-Model-Company-Poolside-to-Deliver-AI-Cloud-Services/default.aspx,,announced_2025_current_delivery_unverified,,,,,,,"2025 statement: 250 MW gross-power first phase of a 2 GW campus. It supplies no turbine fleet, air permit or first-fire date; do not treat cloud-service delivery elsewhere as Horizon generation."
cheyenne_jade,,Project Jade / BFC Power and Cheyenne Power Hub,Wyoming,natural_gas,,,unknown,,county_site_plan_approved_not_air_permit,,https://laramiecounty.legistar.com/LegislationDetail.aspx?GUID=1623FD5B-974F-4551-9E2F-53A415151CCE&ID=7792288,,site_plan_approved_2026-01-06,,,,,,,"Laramie County item 26-023; parcels Sections 5 and 7 T12N R66W. Air permit, unit limits and first fire unresolved. Historical Crusoe attribution requires current verification."
wonder_valley,,Wonder Valley,Alberta,natural_gas,1400,2024_announced_phase1_power_not_operating,unknown,,unverified,,https://mdgreenview.ab.ca/wp-content/uploads/2025/02/mountains-to-meadows_january-2025_reduced.pdf,,planning_initial_power_target_2028,,,,,,,Spring 2026 update: https://mdgreenview.ab.ca/wp-content/uploads/2026/05/WV-Project-Newsletter-Spring-2026.pdf ; AEPA/AUC permitting planned in 2026; construction target 2027; initial power 2028; approvals incomplete. Gas/geothermal proposal; 1400 MW is not confirmed gas-only turbine output.
apollo_ohio,,Apollo / Will-Power OH / Liames,Ohio,natural_gas,350,approved_gas_generation_project,unknown,OPSB 25-973-EL-BGN (siting),siting_approval_not_air_permit,,https://content.govdelivery.com/accounts/OHPUC/bulletins/4077fa5,,construction_approved_2026-02-03,,,,,,,Behind-meter plant supplies adjacent Liames campus without grid connection. 120 MW battery is excluded from gas generation. Air limits and first fire not verified.
