site_id,site_name,operator,year,water_withdrawn_ML,water_consumed_ML,wue_l_per_kwh,wue_scope,pue,pue_scope,energy_gwh_estimate,method,source_url,source_table,note
google_ashburn,"Google Ashburn, VA",Google,2022,184.7,170.3,1.054,fleet_implied_consumption_basis,1.1,fleet,177.7,consumption/implied_fleet_WUE*PUE,https://www.gstatic.com/gumdrop/sustainability/google-2023-environmental-report.pdf,"2023 Environmental Report, Appendix, 'Water use by data center location' 2022 table (pp. 94-95) and 'Data center energy efficiency (PUE)' table","Implied fleet WUE = Google DC water consumption (45 of 5220 MG fleet) / (DC electricity 20,616,500 MWh / fleet PUE 1.1); Google publishes no WUE. Estimate = 20 MW average facility load."
google_berkeley_county,"Google Berkeley County, SC",Google,2022,2772.4,2506.3,1.054,fleet_implied_consumption_basis,1.1,site,2615.0,consumption/implied_fleet_WUE*PUE,https://www.gstatic.com/gumdrop/sustainability/google-2023-environmental-report.pdf,"2023 Environmental Report, Appendix, 'Water use by data center location' 2022 table (pp. 94-95) and 'Data center energy efficiency (PUE)' table","Implied fleet WUE = Google DC water consumption (662 of 5220 MG fleet) / (DC electricity 20,616,500 MWh / fleet PUE 1.1); Google publishes no WUE. Estimate = 299 MW average facility load."
epoch_google_council_bluffs_east,Google Council Bluffs IA (both campuses),Google,2022,4678.8,3392.1,1.054,fleet_implied_consumption_basis,1.1,site_mean_of_2_facilities,3539.2,consumption/implied_fleet_WUE*PUE,https://www.gstatic.com/gumdrop/sustainability/google-2023-environmental-report.pdf,"2023 Environmental Report, Appendix, 'Water use by data center location' 2022 table (pp. 94-95) and 'Data center energy efficiency (PUE)' table","Google reports one water row for both Council Bluffs campuses; PUE = mean of '1st facility' and '2nd facility'. Inventory site is the East campus only, so this is an upper bound for it. Implied fleet WUE = Google DC water consumption (896 of 5220 MG fleet) / (DC electricity 20,616,500 MWh / fleet PUE 1.1); Google publishes no WUE. Estimate = 404 MW average facility load."
google_douglas_county,"Google Douglas County, GA",Google,2022,1432.0,1155.3,1.054,fleet_implied_consumption_basis,1.09,site,1194.5,consumption/implied_fleet_WUE*PUE,https://www.gstatic.com/gumdrop/sustainability/google-2023-environmental-report.pdf,"2023 Environmental Report, Appendix, 'Water use by data center location' 2022 table (pp. 94-95) and 'Data center energy efficiency (PUE)' table","Implied fleet WUE = Google DC water consumption (305 of 5220 MG fleet) / (DC electricity 20,616,500 MWh / fleet PUE 1.1); Google publishes no WUE. Estimate = 136 MW average facility load."
google_dublin,"Google Dublin, Ireland",Google,2022,2.3,0.4,1.054,fleet_implied_consumption_basis,1.09,site,,invalid_air_cooled,https://www.gstatic.com/gumdrop/sustainability/google-2023-environmental-report.pdf,"2023 Environmental Report, Appendix, 'Water use by data center location' 2022 table (pp. 94-95) and 'Data center energy efficiency (PUE)' table",Air-cooled facility (report endnote 226 / 166 / 3). Air-cooled: water use is not a cooling proxy; no estimate.
google_eemshaven,"Google Eemshaven, Netherlands",Google,2022,1274.5,858.5,1.054,fleet_implied_consumption_basis,1.07,site,871.3,consumption/implied_fleet_WUE*PUE,https://www.gstatic.com/gumdrop/sustainability/google-2023-environmental-report.pdf,"2023 Environmental Report, Appendix, 'Water use by data center location' 2022 table (pp. 94-95) and 'Data center energy efficiency (PUE)' table","Implied fleet WUE = Google DC water consumption (227 of 5220 MG fleet) / (DC electricity 20,616,500 MWh / fleet PUE 1.1); Google publishes no WUE. Estimate = 99 MW average facility load."
google_fredericia,"Google Fredericia, Denmark",Google,2022,101.8,72.7,1.054,fleet_implied_consumption_basis,1.12,site,77.2,consumption/implied_fleet_WUE*PUE,https://www.gstatic.com/gumdrop/sustainability/google-2023-environmental-report.pdf,"2023 Environmental Report, Appendix, 'Water use by data center location' 2022 table (pp. 94-95) and 'Data center energy efficiency (PUE)' table","Implied fleet WUE = Google DC water consumption (19 of 5220 MG fleet) / (DC electricity 20,616,500 MWh / fleet PUE 1.1); Google publishes no WUE. Estimate = 9 MW average facility load."
google_hamina,"Google Hamina, Finland",Google,2022,14.8,1.5,1.054,fleet_implied_consumption_basis,1.09,site,1.6,low_confidence_negligible_water,https://www.gstatic.com/gumdrop/sustainability/google-2023-environmental-report.pdf,"2023 Environmental Report, Appendix, 'Water use by data center location' 2022 table (pp. 94-95) and 'Data center energy efficiency (PUE)' table","Seawater cooling; reported withdrawal excludes seawater, so water->energy is not meaningful here. Implied fleet WUE = Google DC water consumption (0 of 5220 MG fleet) / (DC electricity 20,616,500 MWh / fleet PUE 1.1); Google publishes no WUE. Estimate = 0 MW average facility load."
google_henderson,"Google Henderson, NV",Google,2022,504.2,310.8,1.054,fleet_implied_consumption_basis,1.11,site,327.2,consumption/implied_fleet_WUE*PUE,https://www.gstatic.com/gumdrop/sustainability/google-2023-environmental-report.pdf,"2023 Environmental Report, Appendix, 'Water use by data center location' 2022 table (pp. 94-95) and 'Data center energy efficiency (PUE)' table","Implied fleet WUE = Google DC water consumption (82 of 5220 MG fleet) / (DC electricity 20,616,500 MWh / fleet PUE 1.1); Google publishes no WUE. Estimate = 37 MW average facility load."
google_jackson_county,"Google Jackson County, AL",Google,2022,429.3,355.8,1.054,fleet_implied_consumption_basis,1.12,site,378.0,consumption/implied_fleet_WUE*PUE,https://www.gstatic.com/gumdrop/sustainability/google-2023-environmental-report.pdf,"2023 Environmental Report, Appendix, 'Water use by data center location' 2022 table (pp. 94-95) and 'Data center energy efficiency (PUE)' table","Implied fleet WUE = Google DC water consumption (94 of 5220 MG fleet) / (DC electricity 20,616,500 MWh / fleet PUE 1.1); Google publishes no WUE. Estimate = 43 MW average facility load."
