site_id,product_id,datetime_utc,ptype,reason,polygon,n_valid_poly,n_total_poly,n_valid_bg,n_total_bg
lulea,LC08_L1TP_191014_20150223_20170412_01_T1,2015-02-23T09:46:25.245066+00:00,all,outside_footprint,,,,,
lulea,LC08_L1TP_191014_20150311_20170412_01_T1,2015-03-11T09:46:14.572578+00:00,all,outside_footprint,,,,,
lulea,LC08_L1TP_191014_20150327_20170411_01_T1,2015-03-27T09:46:06.500141+00:00,all,outside_footprint,,,,,
lulea,LC08_L1TP_194014_20150401_20170411_01_T1,2015-04-01T10:04:33.733302+00:00,all,background_too_cloudy,,,,0.0,8861.0
lulea,LC08_L1TP_194014_20150417_20170409_01_T1,2015-04-17T10:04:32.374470+00:00,all,background_too_cloudy,,,,0.0,8861.0
lulea,LC08_L1TP_191014_20150428_20170409_01_T1,2015-04-28T09:45:53.527021+00:00,all,outside_footprint,,,,,
lulea,LC08_L1TP_192014_20150505_20170409_01_T1,2015-05-05T09:51:56.775711+00:00,all,background_too_cloudy,,,,0.0,8861.0
lulea,LC08_L1TP_191014_20150530_20170408_01_T1,2015-05-30T09:45:41.988886+00:00,all,outside_footprint,,,,,
lulea,LC08_L1TP_193014_20150613_20170408_01_T1,2015-06-13T09:58:14.681868+00:00,hall,polygon_too_cloudy,hall_north,0.0,61.0,2261.0,8861.0
lulea,LC08_L1TP_193014_20150613_20170408_01_T1,2015-06-13T09:58:14.681868+00:00,hall,polygon_too_cloudy,hall_south,0.0,87.0,2261.0,8861.0
lulea,LC08_L1TP_193014_20150629_20170407_01_T1,2015-06-29T09:58:21.046649+00:00,all,background_too_cloudy,,,,30.0,8861.0
lulea,LC08_L1TP_191014_20150701_20170407_01_T1,2015-07-01T09:46:00.228473+00:00,all,outside_footprint,,,,,
lulea,LC08_L1TP_191014_20150717_20170407_01_T1,2015-07-17T09:46:10.423551+00:00,all,outside_footprint,,,,,
lulea,LC08_L1TP_193014_20150731_20170406_01_T1,2015-07-31T09:58:35.461712+00:00,all,background_too_cloudy,,,,0.0,8861.0
lulea,LC08_L1TP_192014_20150809_20170406_01_T1,2015-08-09T09:52:26.683735+00:00,all,background_too_cloudy,,,,0.0,8861.0
lulea,LC08_L1TP_193014_20150816_20170406_01_T1,2015-08-16T09:58:41.633343+00:00,all,background_too_cloudy,,,,828.0,8861.0
lulea,LC08_L1TP_191014_20150818_20170406_01_T1,2015-08-18T09:46:20.951867+00:00,all,outside_footprint,,,,,
lulea,LC08_L1TP_193014_20150901_20170404_01_T1,2015-09-01T09:58:46.996428+00:00,hall,polygon_too_cloudy,hall_north,23.0,61.0,8358.0,8861.0
lulea,LC08_L1TP_193014_20150901_20170404_01_T1,2015-09-01T09:58:46.996428+00:00,hall,polygon_too_cloudy,hall_south,26.0,87.0,8358.0,8861.0
lulea,LC08_L1TP_191014_20150903_20170404_01_T1,2015-09-03T09:46:25.616154+00:00,all,outside_footprint,,,,,
lulea,LC08_L1TP_191014_20151005_20170403_01_T1,2015-10-05T09:46:37.910592+00:00,all,outside_footprint,,,,,
lulea,LC08_L1TP_192014_20151028_20170402_01_T1,2015-10-28T09:52:53.619275+00:00,all,background_too_cloudy,,,,0.0,8861.0
lulea,LC08_L1TP_193014_20160224_20170329_01_T1,2016-02-24T09:58:52.212747+00:00,all,background_too_cloudy,,,,0.0,8861.0
lulea,LC08_L1TP_191014_20160226_20170329_01_T1,2016-02-26T09:46:30.618432+00:00,all,outside_footprint,,,,,
lulea,LC08_L1TP_191014_20160329_20180522_01_T1,2016-03-29T09:46:17.786550+00:00,all,outside_footprint,,,,,
lulea,LC08_L1TP_191014_20160414_20170326_01_T1,2016-04-14T09:46:12.452058+00:00,all,outside_footprint,,,,,
lulea,LC08_L1TP_191014_20160430_20170326_01_T1,2016-04-30T09:46:12.742622+00:00,all,outside_footprint,,,,,
lulea,LC08_L1TP_193014_20160530_20180522_01_T1,2016-05-30T09:58:37.619952+00:00,all,background_too_cloudy,,,,312.0,8861.0
lulea,LC08_L1TP_192014_20160624_20170323_01_T1,2016-06-24T09:52:34.496555+00:00,hall,polygon_too_cloudy,hall_north,21.0,61.0,2535.0,8861.0
lulea,LC08_L1TP_192014_20160624_20170323_01_T1,2016-06-24T09:52:34.496555+00:00,hall,polygon_too_cloudy,hall_south,0.0,87.0,2535.0,8861.0
lulea,LC08_L1TP_192014_20160710_20170323_01_T1,2016-07-10T09:52:42.841460+00:00,all,background_too_cloudy,,,,130.0,8861.0
lulea,LC08_L1TP_191014_20160719_20170323_01_T1,2016-07-19T09:46:35.213778+00:00,all,outside_footprint,,,,,
